  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.011            0      426.484       71.971      108.938
        1        0.669        4.995            0      431.421       72.889       98.860
        2        0.786        4.990            0      425.621       85.586       96.190
        3        0.677        5.018            0      426.545      115.651       96.346
        4        0.719        4.985            0      426.564       84.056       94.599
        5        0.746        4.984            0      423.228       87.861       93.677
        6        0.779        4.962            0      429.542       84.088      105.357
        7        0.777        4.969            0      427.195       96.895       99.694
        8        0.742        5.033            0      428.360      106.461       94.640
        9        0.627        5.025            0      430.710      120.466       99.828
       10        0.759        5.010            0      428.458      108.357       98.954
       11        0.650        4.946            0      423.104      122.805       93.851
       12        0.845        4.964            0      428.447      102.722      106.780
       13        0.752        4.999            0      424.489       75.281       93.938
       14        0.778        4.913            0      426.958       92.490       97.571
       15        0.750        5.006            0      428.419      105.864      102.619
       16        0.769        5.006            0      429.162       96.101      100.773
       17        0.705        5.000            0      426.296      113.090       95.038
       18        0.635        4.974            0      426.651       95.670      100.218
       19        0.705        4.938            0      426.158       77.384      101.596
       20        0.805        4.933            0      426.712       90.815       96.883
       21        0.598        5.052            0      431.181      104.464      100.447
       22        0.773        5.024            0      432.875       90.168       98.587
       23        0.678        4.984            0      425.533      115.343       96.782
       24        0.770        4.953            0      425.161      126.466       95.064
       25        0.839        4.974            0      428.606       73.466       97.703
       26        0.804        4.961            0      428.144       73.560      103.814
       27        0.690        5.033            0      431.128      110.236       98.902
       28        0.704        4.980            0      429.880      107.139       97.234
       29        0.845        4.891            0      426.500       88.726      103.669
       30        0.858        4.965            0      431.440      119.777      102.850
       31        0.818        4.937            0      429.708      123.146      103.597
       32        0.856        4.910            0      428.322      131.222      106.581
       33        0.807        4.919            0      426.685      119.467       98.045
       34        0.776        4.952            0      428.005      112.491       99.991
       35        0.722        5.010            0      427.384      111.270       97.997
       36        0.786        4.953            0      429.006      127.592      102.004
       37        0.804        4.941            0      426.402      126.715       98.347
       38        0.828        4.878            0      424.813       95.919      107.083
       39        0.855        4.957            0      431.823      106.721      101.815
       40        0.803        4.934            0      428.516      111.957      103.672
       41        0.817        4.998            0      430.177      105.653      103.465
       42        0.747        5.016            0      432.763      131.771      100.783
       43        0.732        4.977            0      429.142      141.553      102.051
       44        0.801        4.969            0      428.271      131.682      106.236
       45        0.834        4.991            0      429.056      135.616      100.246
       46        0.731        5.017            0      427.131      140.208      100.025
       47        0.849        4.943            0      428.096      138.819      105.619
       48        0.849        4.897            0      429.102      118.006      103.537
       49        0.672        5.049            0      432.399      158.169      103.525
       50        0.710        5.017            0      428.316      137.237       97.367
       51        0.748        4.941            0      429.174      144.745      101.510
       52        0.911        4.935            0      428.416      122.522      101.767
       53        0.774        4.993            0      429.362      146.564      100.615
       54        0.757        4.918            0      425.382      138.192      101.853
       55        0.907        4.954            0      429.037      133.207      104.405
       56        0.753        5.032            0      431.811      134.881      100.306
       57        0.703        4.962            0      428.743      132.915      102.667
       58        0.698        4.976            0      426.705      158.702       97.377
       59        0.654        5.016            0      428.088      157.371       98.389
       60        0.796        4.947            0      428.856      163.738      102.533
       61        0.685        5.010            0      432.326      173.112      100.061
       62        0.651        4.974            0      428.603      185.346      100.430
       63        0.718        5.035            0      428.175      169.392       97.829
       64        0.746        4.972            0      427.127      148.129      101.802
       65        0.715        4.979            0      431.871      131.404      100.372
       66        0.772        4.995            0      432.580      142.562      100.683
       67        0.715        4.984            0      426.031      148.938      100.727
       68        0.734        4.975            0      428.454      140.528      102.207
       69        0.709        5.005            0      427.023      162.864       99.169
       70        0.609        4.979            0      427.621      163.431       96.476
       71        0.687        4.968            0      427.674      140.876      104.660
       72        0.758        4.972            0      428.946      144.290       99.749
       73        0.704        5.057            0      430.286      153.217      105.099
       74        0.653        5.052            0      433.490      148.815      105.805
       75        0.619        4.944            0      426.622      164.230      103.160
       76        0.663        5.008            0      428.899      144.162      102.223
       77        0.714        4.986            0      427.768      146.979       99.137
       78        0.795        4.963            0      426.808      146.160       98.743
       79        0.722        5.083            0      430.439      134.095       97.581
       80        0.708        5.054            0      431.623      146.847       92.458
       81        0.665        5.060            0      430.328      156.178       99.943
       82        0.735        5.042            0      432.169      151.921      102.031
       83        0.751        4.969            0      429.679      138.507      100.698
       84        0.780        4.966            0      429.882      144.201      103.667
       85        0.710        4.945            0      428.515      149.326       99.301
       86        0.798        4.943            0      429.531      152.792      104.154
       87        0.683        5.019            0      432.559      169.007      101.215
       88        0.749        4.994            0      431.356      161.566      104.735
       89        0.732        4.963            0      426.717      160.499      104.478
       90        0.691        5.046            0      433.430      157.700      105.919
       91        0.747        5.006            0      430.774      144.557      100.141
       92        0.709        4.988            0      428.445      129.266      103.586
       93        0.773        4.997            0      428.909      136.563      100.218
       94        0.719        5.070            0      435.347      161.566      102.015
       95        0.708        4.999            0      432.871      131.652      102.923
       96        0.754        4.889            0      426.398      173.559      103.527
       97        0.726        5.001            0      429.980      172.893       99.423
       98        0.737        4.987            0      428.029      170.491      101.663
       99        0.693        4.981            0      430.374      186.415      103.165
      100        0.739        4.965            0      429.630      194.524      106.467
      101        0.621        5.041            0      432.463      187.084      107.100
      102        0.806        4.963            0      428.773      180.522      105.227
      103        0.748        5.039            0      434.616      173.636      106.008
      104        0.721        5.034            0      431.234      152.389      103.597
      105        0.658        5.017            0      431.026      170.338      106.042
      106        0.673        5.013            0      429.369      182.183       98.225
      107        0.685        5.023            0      433.847      202.339      103.054
      108        0.845        4.874            0      426.870      214.603      104.211
      109        0.753        4.952            0      427.869      202.905      101.317
      110        0.725        4.985            0      430.477      249.588      106.802
      111        0.760        4.922            0      426.619      240.093       99.406
      112        0.715        4.994            0      429.463      222.297      100.126
      113        0.724        5.001            0      429.550      227.389       99.008
      114        0.688        5.027            0      429.303      222.441       99.286
      115        0.798        4.981            0      426.697      248.911      103.960
      116        0.797        4.919            0      420.677      222.619      104.066
      117        0.750        5.042            0      428.011      219.814       97.876
      118        0.753        5.014            0      427.197      234.804      101.921
      119        0.681        5.052            0      429.133      203.844       98.132
      120        0.688        5.019            0      428.046      210.441       98.920
      121        0.773        5.019            0      423.686      236.965      105.365
      122        0.574        5.090            0      428.446      212.065       95.820
      123        0.766        5.072            0      430.600      211.350      101.154
      124        0.622        5.140            0      428.872      227.297      100.119
      125        0.602        5.116            0      431.416      217.594       97.448
      126        0.769        5.066            0      430.755      257.651      105.551
      127        0.646        5.086            0      433.247      240.279      103.544
      128        0.705        5.047            0      427.930      242.942      103.300
      129        0.594        5.144            0      430.022      214.134      103.041
      130        0.609        5.121            0      433.129      200.762      102.192
      131        0.616        5.100            0      431.698      208.010      101.280
      132        0.700        5.072            0      431.870      200.378      104.291
      133        0.702        5.105            0      435.030      207.392      102.291
      134        0.745        5.116            0      432.450      219.363      101.975
      135        0.623        5.110            0      430.790      208.304      105.275
      136        0.598        5.066            0      430.851      186.243      101.433
      137        0.618        5.042            0      428.519      213.363       99.530
      138        0.652        5.092            0      428.158      186.225      103.493
      139        0.739        5.075            0      432.090      223.341      104.111
      140        0.786        4.954            0      426.977      227.641      101.358
      141        0.708        5.016            0      426.354      264.553       98.384
      142        0.655        5.092            0      431.950      220.428      102.609
      143        0.644        5.085            0      432.570      241.246      104.562
      144        0.754        5.081            0      432.330      241.228      105.619
      145        0.802        5.055            0      432.638      204.975       99.948
      146        0.790        5.015            0      427.632      233.872      100.659
      147        0.742        5.015            0      427.311      233.782      101.092
      148        0.780        4.992            0      428.824      252.807      100.677
      149        0.729        5.090            0      432.415      262.421       97.595
      150        0.887        5.038            0      430.602      272.967      101.995
      151        0.677        5.073            0      427.777      223.925       98.900
      152        0.734        5.060            0      426.936      227.284       99.802
      153        0.697        5.042            0      428.005      215.434      100.670
      154        0.866        5.005            0      431.907      231.559      101.268
      155        0.648        5.056            0      432.213      230.853      100.842
      156        0.864        5.049            0      430.631      225.372      104.702
      157        0.934        5.012            0      431.222      218.621      109.033
      158        0.725        5.005            0      428.226      225.825       99.721
      159        0.715        5.068            0      430.086      238.291      102.034
      160        0.828        5.029            0      430.649      221.160       97.917
      161        0.644        5.009            0      425.851      215.499       97.588
      162        0.790        5.047            0      427.848      213.621      101.135
      163        0.820        5.067            0      432.089      230.987      102.415
      164        0.686        5.035            0      428.825      219.195       99.965
      165        0.724        5.055            0      432.349      192.678      102.787
      166        0.898        5.018            0      426.817      211.038       99.013
      167        0.716        5.069            0      430.967      227.315      102.123
      168        0.742        5.049            0      430.362      232.275       99.053
      169        0.812        5.024            0      429.457      196.677      102.189
      170        0.840        5.006            0      427.934      197.304      107.557
      171        0.673        5.026            0      427.142      199.140       99.373
      172        0.616        5.060            0      425.174      192.651       96.496
      173        0.769        5.026            0      427.660      185.185       97.907
      174        0.847        5.030            0      431.942      194.811      102.081
      175        0.645        5.095            0      433.190      206.334      101.178
      176        0.708        5.012            0      428.565      178.805      104.433
      177        0.706        5.030            0      426.077      194.025       97.251
      178        0.661        5.031            0      430.024      194.791      100.709
      179        0.614        5.095            0      432.180      143.892      100.505
      180        0.799        5.042            0      432.694      148.241      106.931
      181        0.916        4.951            0      430.541      138.080      107.298
      182        0.822        5.038            0      427.400      149.188       98.169
      183        0.684        5.045            0      431.279      140.118       99.936
      184        0.750        5.081            0      433.985      148.586      101.525
      185        0.793        5.089            0      435.057      140.842      104.620
      186        0.696        5.024            0      424.690      127.578       97.818
      187        0.846        5.062            0      431.491      143.207      103.086
      188        0.823        5.057            0      432.698      131.802       99.558
      189        0.655        5.093            0      433.225      143.156      101.933
      190        0.807        5.057            0      429.737      148.580      100.636
      191        0.723        5.028            0      430.051      144.929      104.604
      192        0.759        5.057            0      429.191      140.504       95.447
      193        0.801        5.035            0      433.335      168.699      107.815
      194        0.675        5.130            0      434.239      162.742      100.893
      195        0.752        5.081            0      433.381      169.612      100.638
      196        0.686        5.101            0      432.835      186.743      103.263
      197        0.616        5.108            0      431.972      165.855      100.718
      198        0.666        5.102            0      432.828      152.760      104.664
      199        0.830        5.086            0      433.169      149.505      105.699
      200        0.766        5.014            0      430.054      139.181      102.073
      201        0.781        5.078            0      429.123      146.954      100.155
      202        0.693        5.047            0      431.012      136.442      103.160
      203        0.835        5.003            0      429.873      130.812      102.737
      204        0.657        5.071            0      432.935      121.078       99.325
      205        0.731        5.072            0      430.077      132.785      105.911
      206        0.936        5.014            0      433.563      126.787      105.635
      207        0.805        5.076            0      431.890      123.561      103.508
      208        0.667        5.066            0      428.704      116.008      101.880
      209        0.796        5.055            0      432.271      126.554       99.949
      210        0.745        5.032            0      429.818      123.763      102.481
      211        0.782        5.026            0      429.569      130.154      104.302
      212        0.786        5.083            0      435.327      127.229      103.956
      213        0.761        5.052            0      432.002      129.425      104.329
      214        0.710        5.037            0      430.625      132.601       98.969
      215        0.736        5.041            0      428.503      122.832      102.188
      216        0.998        4.990            0      431.160      134.257      104.386
      217        0.754        5.039            0      429.836      126.491       99.071
      218        0.850        5.019            0      427.872      121.425      100.372
