  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        6.164            0      517.138      197.029       73.115
        1        0.503        6.220            0      514.636      221.519       72.648
        2        0.567        6.104            0      517.089      218.892       72.914
        3        0.317        6.054            0      515.592      209.669       72.765
        4        0.460        6.268            0      518.955      201.147       73.283
        5        0.439        6.112            0      516.862      211.462       70.411
        6        0.458        6.131            0      514.626      220.731       74.311
        7        0.875        6.303            0      519.744      250.812       74.645
        8        0.899        6.079            0      510.436      264.560       71.278
        9        0.843        6.300            0      522.606      287.291       74.163
       10        0.730        6.134            0      512.801      269.760       72.493
       11        0.939        6.317            0      523.514      270.620       72.055
       12        0.676        6.197            0      517.267      202.713       71.423
       13        0.669        6.202            0      513.035      239.030       71.117
       14        0.629        6.264            0      521.727      240.880       75.262
       15        0.676        6.197            0      516.684      226.439       74.667
       16        0.814        6.304            0      515.991      255.125       75.334
       17        0.885        6.197            0      519.306      225.544       74.330
       18        0.657        6.235            0      521.161      227.805       72.753
       19        0.690        6.186            0      517.863      216.021       74.689
       20        0.649        6.269            0      518.883      227.606       71.609
       21        0.881        6.230            0      521.005      156.605       74.977
       22        0.815        6.188            0      520.709      224.987       74.195
       23        0.715        6.201            0      522.338      221.630       71.160
       24        0.648        6.240            0      519.102      202.440       69.994
       25        0.702        6.268            0      517.580      220.540       73.373
       26        0.708        6.290            0      518.084      208.297       71.589
       27        0.680        6.342            0      526.932      249.480       72.573
       28        0.756        6.326            0      520.546      251.289       74.659
       29        0.796        6.358            0      522.642      241.245       72.891
       30        0.765        6.156            0      514.690      241.035       69.196
       31        0.669        6.236            0      515.565      237.815       71.439
       32        0.791        6.132            0      511.658      223.654       74.303
       33        0.759        6.140            0      516.032      224.390       71.240
       34        0.751        6.091            0      516.996      218.934       69.548
       35        0.628        6.053            0      520.049      222.077       72.365
       36        0.504        6.023            0      513.380      209.230       72.102
       37        0.501        6.182            0      516.337      193.790       73.710
       38        0.785        6.305            0      524.674      225.700       69.369
       39        0.899        6.350            0      523.440      310.702       74.653
       40        0.514        6.185            0      513.041      240.757       70.665
       41        0.670        6.247            0      515.951      248.364       71.292
       42        0.533        6.145            0      515.387      231.965       71.936
       43        0.358        6.161            0      517.886      206.715       73.717
       44        0.556        6.396            0      522.525      214.481       73.747
       45        0.619        6.325            0      525.781      236.847       73.068
       46        0.564        6.230            0      522.080      223.392       73.566
       47        0.436        6.050            0      511.078      199.274       71.175
       48        0.644        6.153            0      514.279      197.176       72.719
       49        0.596        6.137            0      521.459      243.156       72.845
       50        0.623        6.023            0      509.891      204.922       69.810
       51        0.576        6.204            0      518.386      221.864       72.760
       52        0.694        6.145            0      519.091      227.472       72.696
       53        0.609        6.096            0      514.884      237.161       72.539
       54        0.870        6.162            0      514.678      278.009       71.225
       55        0.991        6.094            0      513.636      260.545       73.876
       56        0.790        6.143            0      517.032      250.019       73.486
       57        0.764        6.137            0      516.137      224.269       70.395
       58        0.865        6.235            0      514.594      215.889       75.135
       59        0.843        6.220            0      520.571      238.793       75.824
       60        0.825        6.171            0      518.396      222.704       77.360
       61        0.857        6.245            0      516.918      252.932       71.869
       62        0.731        6.034            0      514.036      221.288       72.291
       63        0.723        6.042            0      511.233      239.902       73.028
       64        0.584        6.043            0      515.716      219.229       73.524
       65        0.863        5.955            0      506.900      234.785       75.753
       66        1.044        6.157            0      511.170      248.620       70.691
       67        1.156        6.097            0      510.708      265.146       72.034
       68        0.657        6.204            0      513.986      218.118       72.515
       69        0.666        6.173            0      515.119      243.780       72.629
       70        0.856        6.022            0      511.383      239.222       73.476
       71        0.692        6.055            0      514.246      240.106       74.152
       72        0.792        6.109            0      513.978      251.870       75.564
       73        0.835        6.029            0      510.552      235.426       75.238
       74        0.808        5.945            0      508.473      230.706       76.737
       75        0.901        6.133            0      516.136      257.847       77.145
       76        0.919        6.094            0      512.881      243.735       75.156
       77        0.880        6.160            0      517.507      261.142       72.109
       78        0.831        6.150            0      515.657      208.954       72.708
       79        1.105        5.944            0      512.962      231.205       73.706
       80        0.891        6.092            0      514.059      244.717       73.858
       81        0.961        6.178            0      516.120      252.795       76.868
       82        0.955        6.218            0      519.129      232.635       73.109
       83        0.658        6.154            0      515.471      233.445       71.894
       84        0.454        6.200            0      519.449      228.099       73.730
       85        0.843        6.121            0      518.166      238.990       72.515
       86        0.790        6.152            0      516.867      288.670       73.407
       87        0.635        6.250            0      523.001      287.470       73.148
       88        0.687        6.195            0      519.861      278.909       71.975
       89        0.577        6.180            0      516.348      285.680       69.911
       90        1.067        6.158            0      521.679      272.438       75.490
       91        0.903        6.013            0      514.628      275.041       73.917
       92        0.674        6.280            0      523.803      286.133       72.139
       93        0.708        6.131            0      518.085      207.534       77.114
       94        0.654        6.232            0      519.705      214.093       73.252
       95        0.754        6.222            0      521.749      237.043       72.438
       96        0.571        5.973            0      508.107      179.679       73.452
       97        0.541        6.271            0      520.747      214.300       73.673
       98        0.749        6.188            0      521.144      186.682       75.114
       99        0.441        6.063            0      516.347      204.872       74.099
      100        0.581        6.247            0      521.052      233.063       73.182
      101        0.832        6.270            0      522.566      263.616       74.653
      102        0.866        6.144            0      519.163      241.047       73.491
      103        0.845        6.143            0      517.803      252.141       71.957
      104        1.055        5.973            0      509.928      267.395       71.459
      105        0.716        6.107            0      516.102      266.182       73.028
      106        1.371        5.803            0      513.025      235.925       82.700
      107        1.700        5.603            0      503.508      262.164       84.642
      108        2.117        5.401            0      499.799      202.213       86.001
      109        1.890        5.564            0      505.039      231.171       87.231
      110        1.951        5.560            0      505.750      218.745       87.426
      111        1.504        5.689            0      505.863      251.509       83.126
      112        1.487        5.814            0      515.697      254.858       84.440
      113        1.450        5.659            0      506.162      233.322       80.546
      114        1.416        5.689            0      506.464      256.095       78.470
      115        1.784        5.530            0      500.149      238.016       83.733
      116        1.999        5.521            0      505.754      234.876       85.137
      117        1.836        5.556            0      507.071      244.037       85.005
      118        2.017        5.520            0      503.538      235.916       85.834
      119        1.991        5.511            0      502.496      249.121       86.551
      120        2.211        5.414            0      500.368      208.131       90.504
      121        1.796        5.625            0      502.744      244.323       84.790
      122        1.853        5.504            0      505.376      283.008       90.351
      123        1.746        5.631            0      505.370      301.855       87.090
      124        1.910        5.522            0      500.714      250.718       84.364
      125        1.948        5.479            0      504.373      260.627       86.011
      126        1.174        6.130            0      517.501      329.687       76.576
      127        0.819        6.040            0      510.746      273.213       70.631
      128        0.881        6.108            0      512.308      264.314       72.943
      129        0.891        5.988            0      510.249      264.298       70.999
      130        1.090        6.059            0      510.623      277.227       72.726
      131        1.057        6.129            0      516.940      289.573       74.266
      132        0.810        6.095            0      512.870      253.494       72.720
      133        1.122        6.019            0      511.268      216.921       74.894
      134        1.206        6.074            0      514.871      241.882       75.223
      135        1.279        5.944            0      506.146      217.214       77.389
      136        1.348        6.056            0      514.715      247.399       73.636
      137        1.072        5.950            0      508.048      275.565       76.712
      138        0.943        5.981            0      508.698      327.110       72.930
      139        0.935        5.996            0      509.364      314.598       71.708
      140        1.041        6.040            0      512.006      336.881       76.366
      141        1.315        5.965            0      511.428      270.469       76.516
      142        1.032        6.079            0      514.291      262.342       71.531
      143        1.036        6.053            0      512.002      309.712       72.854
      144        1.140        6.030            0      515.879      268.449       72.934
      145        0.845        6.063            0      518.744      289.276       73.585
      146        1.060        5.990            0      507.001      347.247       70.448
      147        0.963        6.065            0      512.631      297.804       73.776
      148        1.137        6.072            0      516.175      305.915       71.441
      149        1.045        6.110            0      512.139      262.089       72.052
      150        0.779        5.972            0      509.410      326.316       73.498
      151        0.951        6.040            0      510.950      328.704       73.174
      152        0.718        6.051            0      514.963      335.465       71.788
      153        1.031        6.092            0      514.211      295.963       72.317
      154        1.207        5.978            0      510.121      328.239       77.927
      155        1.274        5.903            0      505.216      295.174       76.467
      156        0.902        6.064            0      512.158      293.755       71.419
      157        1.003        5.940            0      503.451      276.896       69.955
      158        1.086        6.056            0      508.803      258.365       73.252
      159        0.996        5.991            0      513.355      274.174       72.175
      160        1.193        5.918            0      507.553      276.578       76.233
      161        1.197        5.911            0      513.207      271.332       77.442
      162        0.967        6.009            0      511.236      275.772       73.702
      163        1.006        6.085            0      515.017      300.201       72.986
      164        1.033        6.149            0      513.657      307.727       75.287
      165        0.896        6.045            0      510.828      279.461       71.763
      166        0.915        6.072            0      515.573      271.827       71.774
      167        0.701        6.019            0      511.257      291.560       70.176
      168        0.693        6.098            0      518.210      260.745       70.112
      169        0.671        6.117            0      513.468      256.735       71.482
      170        0.789        6.156            0      516.317      291.392       74.115
      171        0.770        6.050            0      511.848      300.482       74.244
      172        0.654        6.107            0      512.404      253.476       71.693
      173        0.750        6.173            0      516.020      292.562       75.028
      174        0.706        6.051            0      511.548      297.941       69.603
      175        0.830        6.093            0      517.439      277.468       73.638
      176        0.799        6.099            0      514.917      279.474       72.648
      177        0.708        6.034            0      508.701      277.700       72.513
      178        0.984        6.035            0      510.381      309.324       71.130
      179        0.850        6.039            0      513.928      272.118       73.874
      180        0.929        6.034            0      509.887      262.948       73.857
      181        0.883        6.076            0      514.479      275.919       69.868
      182        0.774        5.931            0      507.113      276.036       72.266
      183        1.097        6.071            0      510.391      287.261       70.763
      184        1.051        6.152            0      513.449      240.884       70.273
      185        0.887        5.925            0      505.527      250.255       76.406
      186        1.056        6.076            0      514.592      251.827       73.479
      187        1.043        6.002            0      512.199      246.695       70.751
      188        1.045        6.057            0      513.088      269.700       73.582
      189        0.952        6.028            0      513.923      273.492       72.472
      190        0.928        6.020            0      511.353      270.874       74.346
      191        1.114        6.080            0      510.156      251.335       70.735
      192        0.967        6.153            0      513.234      280.261       71.087
      193        1.022        6.045            0      510.447      274.887       70.671
      194        0.863        6.178            0      516.762      284.668       74.300
      195        1.002        6.052            0      508.645      270.736       72.088
      196        0.917        6.057            0      510.926      277.450       71.674
      197        0.940        6.255            0      518.302      275.969       72.988
      198        1.199        6.028            0      509.263      251.334       76.111
      199        1.076        5.943            0      509.128      297.291       75.413
      200        0.889        6.016            0      506.496      272.330       72.921
      201        0.896        5.975            0      507.300      270.750       71.964
      202        1.036        6.016            0      512.247      255.731       72.285
      203        1.071        5.943            0      507.631      223.449       70.461
      204        0.705        6.118            0      515.502      259.392       74.371
      205        1.054        6.042            0      510.520      249.212       71.162
      206        0.839        6.024            0      513.371      273.514       75.604
      207        0.854        5.978            0      513.063      294.879       75.036
      208        0.933        5.953            0      514.278      292.227       74.166
      209        0.961        6.040            0      511.916      255.808       75.435
      210        0.925        6.033            0      510.065      268.557       72.483
      211        1.112        6.052            0      514.519      273.975       73.168
      212        0.920        5.934            0      507.378      279.236       69.870
      213        0.778        5.980            0      508.508      272.420       71.999
      214        1.067        5.966            0      509.214      291.294       84.003
      215        0.917        6.002            0      512.664      255.315       71.943
      216        0.785        6.037            0      510.373      232.262       70.450
      217        0.831        6.082            0      510.382      223.123       73.374
      218        0.997        6.072            0      516.920      261.386       72.466
      219        0.825        6.109            0      509.898      233.956       71.344
      220        0.615        6.100            0      512.911      211.665       69.650
      221        0.678        6.123            0      512.134      239.476       71.724
      222        0.628        6.155            0      513.859      241.339       75.022
      223        0.797        6.337            0      518.464      235.945       72.584
      224        0.654        6.131            0      516.003      189.792       73.740
      225        0.723        6.102            0      511.468      188.773       72.039
      226        0.716        6.010            0      512.880      188.553       70.816
      227        0.711        6.130            0      511.620      197.833       72.055
      228        0.818        6.188            0      517.728      219.910       73.574
      229        0.637        6.114            0      513.792      243.892       72.632
      230        0.663        6.155            0      515.203      242.773       73.500
      231        0.709        6.284            0      520.060      203.903       74.120
      232        0.547        6.049            0      512.751      228.299       72.697
      233        0.690        6.173            0      516.489      243.882       73.693
      234        0.731        6.118            0      515.930      232.672       72.674
      235        0.835        6.189            0      518.901      232.368       74.050
      236        0.722        6.151            0      516.212      222.605       76.145
      237        0.637        6.026            0      513.604      220.562       76.312
      238        0.763        6.141            0      517.782      207.708       75.008
      239        0.774        6.122            0      514.888      222.318       73.346
      240        0.770        6.035            0      509.388      206.015       77.250
      241        0.904        6.021            0      512.901      227.890       74.562
      242        0.932        6.074            0      514.103      238.178       73.037
      243        0.903        6.101            0      512.443      255.750       72.213
      244        0.807        6.128            0      516.998      208.388       73.711
      245        0.747        6.093            0      516.537      216.273       70.827
      246        0.769        6.068            0      513.395      223.699       73.714
      247        0.900        6.130            0      518.656      240.985       75.891
      248        0.804        6.142            0      513.252      278.246       75.760
      249        0.772        6.003            0      511.629      233.226       76.012
      250        0.807        6.012            0      507.540      195.461       70.026
      251        0.772        6.011            0      511.742      202.998       76.435
      252        0.600        6.032            0      511.587      256.787       71.450
      253        0.778        6.060            0      512.228      242.263       74.423
      254        0.708        6.035            0      512.892      224.993       76.512
      255        0.967        6.252            0      518.945      295.427       73.447
      256        0.695        6.033            0      511.805      220.320       73.468
      257        0.756        6.112            0      514.377      251.604       74.356
      258        0.711        6.205            0      516.629      251.183       71.066
      259        1.024        6.253            0      518.175      266.443       75.063
      260        0.968        6.117            0      510.682      259.912       72.807
      261        0.888        6.066            0      514.176      226.940       74.034
      262        0.844        6.120            0      512.063      277.811       73.967
      263        1.019        6.019            0      512.825      263.795       78.814
      264        1.012        6.022            0      513.524      248.093       75.040
      265        0.711        5.950            0      503.963      223.984       71.017
      266        0.589        6.076            0      512.018      240.987       72.316
      267        0.635        6.059            0      512.944      223.950       72.243
      268        0.749        5.995            0      507.461      241.047       70.623
      269        0.716        6.145            0      516.753      290.865       73.426
      270        1.111        6.044            0      509.309      249.786       76.307
      271        0.681        6.066            0      513.821      262.496       71.700
      272        0.952        6.125            0      510.542      307.325       70.783
      273        0.743        5.986            0      511.944      282.147       69.015
      274        0.844        6.032            0      513.145      290.346       73.208
      275        0.761        5.984            0      510.933      282.586       73.586
      276        0.712        6.036            0      508.348      269.849       72.793
      277        0.867        6.094            0      512.770      298.169       73.816
      278        0.740        6.028            0      510.418      237.115       74.349
      279        0.706        6.189            0      517.420      254.283       72.143
      280        0.725        6.131            0      516.903      248.811       71.467
      281        0.736        6.042            0      510.189      266.660       72.866
      282        0.938        5.980            0      507.971      223.332       71.808
      283        0.786        5.994            0      509.987      271.628       72.314
      284        0.803        5.997            0      512.917      319.540       75.328
      285        0.812        5.972            0      505.966      276.332       77.028
      286        0.849        5.946            0      510.755      311.559       77.457
      287        0.848        5.928            0      511.797      303.057       72.460
      288        2.036        5.535            0      505.358      217.868       82.864
      289        2.107        5.516            0      504.872      204.605       89.834
      290        2.176        5.531            0      504.016      189.622       87.683
      291        1.721        5.727            0      507.470      243.746       88.130
      292        1.919        5.538            0      502.719      236.593       88.665
      293        1.976        5.648            0      507.580      227.601       82.833
      294        1.852        5.622            0      502.262      188.654       85.692
      295        2.205        5.505            0      503.441      176.336       85.902
      296        1.992        5.580            0      509.065      231.218       89.362
      297        1.957        5.571            0      507.716      232.599       84.023
      298        2.187        5.424            0      499.494      193.785       88.178
      299        1.912        5.615            0      502.971      200.889       85.129
      300        2.110        5.515            0      506.882      204.947       87.275
      301        1.888        5.557            0      504.438      191.826       85.489
