  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.396            0      467.186      166.276       51.304
        1        0.332        5.429            0      467.933      107.840       44.354
        2        0.438        5.341            0      466.945      107.665       48.526
        3        0.336        5.400            0      469.511      104.024       50.435
        4        0.557        5.464            0      469.889      149.121       55.365
        5        0.515        5.396            0      471.365      151.955       51.585
        6        0.929        5.354            0      468.679      125.556       52.679
        7        0.626        5.348            0      466.346      144.004       56.708
        8        0.798        5.405            0      468.985      162.601       54.628
        9        0.685        5.316            0      466.805      130.538       59.486
       10        0.464        5.445            0      472.428      159.444       56.168
       11        0.624        5.304            0      466.492      142.909       55.231
       12        0.713        5.355            0      469.421      135.250       57.741
       13        0.746        5.438            0      469.639      156.721       55.971
       14        0.369        5.370            0      467.596      156.119       54.534
       15        0.481        5.407            0      467.836      163.430       51.601
       16        0.420        5.358            0      469.018      142.370       52.545
       17        0.372        5.433            0      473.697      125.911       48.654
       18        0.287        5.400            0      468.692      135.660       54.337
       19        0.391        5.475            0      472.113      146.132       53.736
       20        0.495        5.462            0      473.606      122.548       54.229
       21        0.554        5.500            0      475.317      127.475       52.515
       22        0.621        5.539            0      473.575      141.852       51.174
       23        0.452        5.483            0      473.275      160.542       55.645
       24        0.365        5.390            0      467.072      143.927       52.247
       25        0.207        5.370            0      470.144      130.799       49.286
       26        0.345        5.447            0      469.977      142.352       54.604
       27        0.419        5.410            0      470.596      145.817       54.185
       28        0.370        5.463            0      473.061      138.735       52.715
       29        0.456        5.394            0      471.536      117.588       53.174
       30        0.316        5.350            0      471.024      113.500       53.652
       31        0.500        5.455            0      472.214      158.431       53.563
       32        0.602        5.397            0      469.763      147.484       53.239
       33        0.376        5.505            0      473.329      133.484       51.632
       34        0.637        5.497            0      470.827      154.223       51.088
       35        0.260        5.334            0      466.532      141.266       52.481
       36        0.331        5.348            0      467.658      126.920       53.683
       37        0.466        5.381            0      470.389      132.132       56.445
       38        0.418        5.341            0      467.097      132.961       51.885
       39        0.340        5.375            0      468.893      111.565       49.994
       40        0.322        5.411            0      471.261      119.200       49.081
       41        0.455        5.401            0      471.953      129.360       54.159
       42        0.428        5.380            0      469.131      109.513       53.931
       43        0.327        5.442            0      470.048      129.862       51.787
