  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        6.681            0      758.052      363.870       95.356
        1        2.141        5.833            0      685.997      275.569       61.578
        2        2.043        5.914            0      698.891      309.876       67.697
        3        2.049        5.903            0      694.818      257.074       68.649
        4        1.993        5.957            0      699.855      263.688       70.380
        5        1.696        6.057            0      712.008      230.309       65.498
        6        1.909        6.008            0      705.386      242.949       62.629
        7        1.911        5.965            0      694.434      275.182       60.859
        8        1.785        6.151            0      710.382      368.220       84.031
        9        1.917        6.025            0      711.178      301.474       79.720
       10        1.785        6.019            0      702.235      280.792       72.027
       11        1.512        6.242            0      711.223      323.640       69.970
       12        2.020        5.936            0      699.773      289.518       77.809
       13        1.632        6.025            0      700.011      330.443       70.342
       14        1.974        5.983            0      696.630      289.081       59.824
       15        2.090        5.814            0      684.105      274.067       69.118
       16        1.601        6.094            0      695.596      291.009       54.138
       17        1.515        6.163            0      716.192      310.226       65.436
       18        1.677        6.173            0      722.002      292.184       75.454
       19        2.095        6.143            0      740.874      285.223       83.441
       20        2.254        5.903            0      710.104      185.729       85.186
       21        2.066        6.024            0      723.783      209.700       83.019
       22        2.220        5.958            0      717.261      196.150       85.415
       23        2.024        6.017            0      720.629      246.016       75.068
       24        1.763        6.110            0      716.265      238.477       69.221
       25        2.134        6.002            0      713.782      206.450       65.502
       26        2.089        5.992            0      717.193      199.621       84.942
       27        1.893        5.937            0      695.697      215.940       62.647
       28        1.807        6.038            0      708.711      218.888       66.290
       29        1.719        6.119            0      723.433      237.027       69.434
       30        1.785        5.981            0      700.582      240.930       73.863
       31        2.141        5.918            0      703.979      235.521       66.930
       32        1.861        5.897            0      699.147      236.503       79.339
       33        1.910        5.947            0      709.805      245.074       80.186
       34        1.858        5.894            0      690.278      254.385       77.158
       35        2.165        5.894            0      705.280      217.579       87.273
       36        1.917        5.902            0      704.703      245.513       85.125
       37        1.708        6.048            0      715.961      282.937       85.025
       38        1.999        5.873            0      697.600      276.091       84.639
       39        2.028        5.915            0      708.895      258.682       81.481
       40        1.772        6.001            0      704.586      254.461       75.037
       41        2.346        5.852            0      689.168      277.950       79.673
       42        2.064        5.947            0      702.603      254.032       71.609
       43        1.699        6.073            0      711.857      279.275       74.426
       44        1.964        5.877            0      702.071      314.354       80.747
       45        1.720        5.942            0      700.382      297.574       78.047
       46        1.829        5.948            0      699.426      278.352       82.409
       47        1.929        5.913            0      699.069      265.967       80.868
       48        2.021        5.956            0      710.848      269.264       81.752
       49        2.308        6.022            0      723.549      239.566       75.570
       50        2.268        6.025            0      733.353      314.465       82.459
       51        1.846        6.395            0      757.402      387.516       88.512
       52        1.987        6.283            0      763.303      305.786       85.920
       53        1.945        6.344            0      760.979      309.296       80.516
       54        1.956        6.868            0      766.819      414.950       89.040
       55        1.647        6.873            0      763.017      471.592       82.566
       56        1.994        6.841            0      763.693      465.793       79.386
       57        2.150        6.732            0      756.475      441.233       78.349
       58        2.021        7.039            0      761.017      457.004       86.048
       59        2.053        7.052            0      751.260      442.556       75.005
       60        2.112        7.347            0      751.472      425.457       82.760
       61        2.201        7.281            0      749.182      397.643       85.018
       62        2.171        7.339            0      747.860      407.675       85.955
       63        2.227        7.369            0      739.271      365.057       82.937
       64        2.130        7.344            0      745.890      402.328       88.725
       65        2.111        7.351            0      747.543      442.221       84.177
       66        2.226        7.348            0      745.235      383.857       82.826
       67        2.219        7.393            0      751.680      396.039       87.519
       68        2.544        7.687            0      752.662      348.276       92.743
       69        2.235        7.413            0      748.651      362.977       85.506
       70        2.297        7.419            0      752.748      343.361       86.322
