  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        6.118            0      537.775       93.533       67.876
        1        0.891        5.770            0      526.550      100.318       66.397
        2        1.229        5.680            0      532.518      118.545       71.471
        3        1.072        5.726            0      530.758      117.895       70.106
        4        1.204        5.680            0      533.078      120.122       72.516
        5        1.390        5.704            0      536.077      100.762       74.616
        6        1.346        5.619            0      528.926      117.908       70.724
        7        1.666        5.571            0      530.411      119.786       63.240
        8        1.765        5.468            0      527.915      125.829       67.041
        9        1.692        5.561            0      531.735      143.251       63.349
       10        1.730        5.521            0      529.580      116.313       65.934
       11        1.848        5.474            0      529.030      116.651       63.808
       12        1.577        5.527            0      526.392      139.912       63.371
       13        1.698        5.525            0      533.103      138.944       68.203
       14        1.761        5.506            0      530.422      134.374       66.692
       15        1.549        5.590            0      530.695      124.581       65.994
       16        2.177        5.335            0      528.305      137.550       67.671
       17        1.896        5.454            0      533.846      152.121       65.905
       18        1.870        5.433            0      530.004      131.604       68.013
       19        1.655        5.524            0      528.436      151.672       65.029
       20        1.948        5.426            0      529.264      129.935       64.345
       21        1.775        5.406            0      522.434      159.725       66.992
       22        1.647        5.554            0      531.368      144.255       66.225
       23        1.589        5.527            0      526.929      165.966       70.073
       24        1.846        5.469            0      526.032      141.999       67.974
       25        1.549        5.616            0      533.617      147.938       65.196
       26        1.901        5.444            0      529.744      131.458       64.359
       27        1.952        5.448            0      531.066      160.874       69.928
       28        1.784        5.448            0      529.057      148.066       62.758
       29        2.083        5.363            0      528.565      129.392       67.583
       30        1.908        5.454            0      530.276      154.497       66.119
       31        1.782        5.468            0      533.126      116.790       66.979
       32        1.994        5.344            0      523.402      113.676       66.209
       33        1.917        5.449            0      527.488      106.448       66.376
       34        1.727        5.484            0      532.344      114.305       67.310
       35        1.832        5.407            0      524.668      113.501       63.495
       36        1.852        5.410            0      526.878       93.570       69.277
       37        1.894        5.463            0      532.667       83.425       69.422
       38        1.589        5.558            0      531.110      110.421       63.710
       39        1.991        5.294            0      521.694      107.447       70.252
       40        1.990        5.308            0      525.200      118.145       66.138
       41        1.819        5.470            0      531.141      107.060       63.554
       42        2.171        5.276            0      526.787       72.156       62.598
       43        2.148        5.333            0      526.863       69.288       65.560
       44        2.054        5.319            0      523.430       74.963       64.567
       45        2.002        5.386            0      529.127       64.250       68.989
       46        2.074        5.325            0      530.768       71.128       66.372
