  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.445            2      634.684      448.487      606.592
        1        0.450        5.393            1      628.574      476.519      603.298
        2        0.582        5.411            2      633.354      463.365      623.345
        3        0.628        5.412            0      630.678      476.212      632.048
        4        0.687        5.378            4      622.833      486.603      604.167
        5        0.577        5.427            1      637.477      483.012      635.972
        6        0.559        5.459            1      639.843      479.087      640.802
        7        0.541        5.454            2      642.134      499.156      635.703
        8        0.577        5.431            1      639.140      510.998      646.689
        9        0.541        5.409            3      634.125      484.109      629.316
       10        0.524        5.438            2      635.293      495.603      627.622
       11        0.486        5.425            2      635.456      491.166      639.571
       12        0.562        5.393            2      629.379      486.978      625.474
       13        0.563        5.386            1      630.060      485.890      635.455
       14        0.620        5.444            1      637.821      458.707      641.080
       15        0.526        5.416            2      634.740      464.361      622.954
       16        0.484        5.468            2      638.174      474.414      639.559
       17        0.494        5.417            1      638.335      506.007      642.609
       18        0.567        5.396            2      632.341      492.629      630.207
       19        0.501        5.428            3      640.471      499.257      629.768
       20        0.504        5.460            2      640.886      516.381      639.889
       21        0.554        5.391            3      626.243      481.741      624.146
       22        0.437        5.482            3      641.942      514.001      636.289
       23        0.449        5.449            3      636.002      502.648      631.615
       24        0.502        5.395            2      632.576      514.899      627.566
       25        0.527        5.405            3      629.063      520.317      622.549
       26        0.547        5.383            3      634.606      520.089      634.287
       27        0.515        5.397            1      630.843      524.841      622.670
       28        0.567        5.408            2      627.996      519.416      627.663
       29        0.630        5.402            1      632.757      523.026      634.847
       30        0.563        5.459            2      641.333      555.253      651.878
       31        0.419        5.453            2      638.402      550.344      628.169
       32        0.339        5.434            2      638.407      525.044      642.034
       33        0.581        5.412            2      632.941      528.914      637.997
       34        0.584        5.349            3      622.658      497.241      622.386
       35        0.568        5.419            3      633.399      504.122      631.490
       36        0.584        5.382            2      631.311      510.357      632.607
       37        0.658        5.359            2      619.884      508.488      624.852
       38        0.631        5.408            3      631.874      519.468      626.685
       39        0.665        5.398            3      635.897      498.793      641.308
       40        0.603        5.401            3      631.950      493.198      619.698
       41        0.490        5.417            3      637.153      499.675      615.967
       42        0.553        5.417            3      635.914      522.647      627.212
       43        0.590        5.434            3      635.371      548.699      643.294
       44        0.582        5.401            2      631.764      507.234      635.154
       45        0.547        5.456            2      645.397      556.045      647.356
       46        0.627        5.426            2      646.548      537.789      641.011
       47        0.657        5.379            4      639.399      554.456      632.392
       48        0.659        5.399            2      635.347      545.585      640.288
       49        0.639        5.409            2      636.851      507.000      630.697
       50        0.598        5.415            1      635.017      525.851      642.711
       51        0.591        5.436            3      636.067      495.567      623.757
       52        0.692        5.391            3      634.909      483.675      627.349
       53        0.666        5.422            3      637.990      517.238      632.844
       54        0.565        5.423            2      636.534      519.443      636.048
       55        0.643        5.427            1      641.857      540.733      658.883
       56        0.850        5.464            1      641.346      527.063      649.370
       57        0.810        5.407            4      633.599      529.975      648.379
       58        0.769        5.426            2      636.474      510.740      632.525
       59        0.732        5.436            2      638.929      525.738      648.456
       60        0.911        5.532            2      647.638      528.849      658.966
       61        0.858        5.491            1      643.859      484.607      660.394
       62        0.863        5.484            1      633.764      487.716      672.665
       63        0.872        5.514            1      643.274      504.113      677.353
       64        1.056        5.465            1      643.836      504.199      657.254
       65        0.942        5.415            1      634.951      546.318      654.770
       66        0.848        5.461            3      646.065      545.047      650.990
       67        0.844        5.462            3      645.126      546.141      651.239
       68        0.962        5.450            3      638.176      561.841      661.441
       69        0.995        5.438            1      642.564      589.359      667.551
       70        0.967        5.473            2      647.176      551.668      679.553
       71        0.897        5.451            3      643.378      563.696      660.636
       72        0.882        5.435            1      640.951      525.215      682.165
       73        1.060        5.544            3      656.821      562.150      696.312
       74        0.929        5.436            2      634.954      504.230      659.741
       75        0.908        5.494            2      641.828      535.986      670.717
       76        0.957        5.498            1      637.581      581.625      665.090
       77        0.994        5.459            2      643.120      555.210      661.086
       78        0.933        5.553            0      649.513      579.052      696.805
       79        0.966        5.505            0      647.817      586.387      685.068
       80        0.876        5.496            3      647.197      567.558      668.265
       81        0.861        5.462            2      648.346      571.659      654.217
       82        0.842        5.455            2      639.352      558.853      654.605
       83        0.892        5.466            1      643.185      565.952      642.392
       84        0.846        5.470            2      641.855      576.200      661.426
       85        0.922        5.434            1      649.492      591.443      667.612
       86        0.902        5.485            1      646.339      598.899      672.882
       87        0.820        5.419            1      638.877      584.298      657.745
       88        0.821        5.449            2      644.006      583.514      669.831
       89        0.823        5.431            2      640.493      556.051      651.334
       90        0.855        5.458            2      641.482      544.051      646.202
       91        0.770        5.465            2      651.696      559.853      652.531
       92        0.811        5.504            2      647.808      576.151      679.578
       93        0.808        5.458            1      640.116      566.856      655.498
       94        0.774        5.550            0      658.368      587.803      664.041
       95        0.800        5.492            2      647.650      562.495      666.017
       96        0.889        5.435            3      638.823      570.627      642.112
       97        0.825        5.467            2      644.972      580.594      653.776
       98        0.782        5.460            3      639.974      543.675      662.615
       99        0.798        5.429            3      634.965      595.683      649.780
      100        0.881        5.484            3      645.355      567.958      674.108
      101        0.828        5.452            1      645.522      561.025      676.937
      102        0.796        5.474            1      644.502      539.766      678.902
      103        0.806        5.447            1      640.790      551.374      672.799
      104        0.823        5.478            1      642.761      556.650      682.021
      105        0.823        5.438            1      641.375      549.162      668.208
      106        0.813        5.423            1      647.197      540.293      670.249
      107        0.841        5.430            1      641.409      536.425      675.833
      108        0.856        5.408            1      639.578      540.144      674.373
      109        0.878        5.438            1      633.017      535.386      676.335
      110        0.810        5.386            1      632.863      515.743      656.162
      111        0.908        5.434            1      645.055      562.403      680.641
      112        0.864        5.433            0      638.103      568.861      677.667
      113        0.778        5.449            1      640.075      551.270      675.673
      114        0.784        5.493            0      647.199      554.863      678.396
      115        0.891        5.443            1      639.544      536.736      670.122
      116        0.811        5.561            2      659.257      559.900      699.643
      117        0.791        5.487            1      649.171      560.535      676.493
      118        0.867        5.413            1      636.986      551.376      688.753
      119        0.845        5.435            0      643.958      552.442      680.103
      120        0.829        5.474            1      641.960      514.900      682.446
      121        0.836        5.461            2      648.086      484.320      677.573
      122        0.822        5.408            1      638.257      471.655      676.271
      123        0.869        5.405            0      636.243      489.737      677.660
      124        0.867        5.456            0      644.558      520.231      690.286
      125        0.907        5.521            0      657.364      542.444      692.624
