  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      1.284           1.309           1.829           1.503
         2      1.484           1.517           2.101           1.722
         3      1.752           1.779           2.442           2.027
         4      1.862           1.899           2.590           2.166
         5      1.915           1.945           2.716           2.251
         6      2.160           2.182           2.961           2.484
         7      2.339           2.359           3.102           2.652
         8      2.241           2.264           3.030           2.567
         9      2.376           2.398           3.151           2.693
        10      2.428           2.450           3.222           2.756
        11      2.376           2.392           3.244           2.730
        12      2.257           2.279           3.159           2.647
        13      2.353           2.363           3.249           2.730
        14      2.566           2.578           3.431           2.916
        15      2.350           2.364           3.306           2.755
        16      2.429           2.439           3.403           2.833
        17      2.550           2.548           3.565           2.956
        18      2.576           2.583           3.683           3.055
        19      2.635           2.645           3.692           3.086
        20      2.645           2.657           3.666           3.074
        21      2.817           2.818           3.907           3.270
        22      2.789           2.798           3.931           3.296
        23      2.739           2.740           3.921           3.267
        24      2.840           2.850           3.947           3.318
        25      2.831           2.835           3.975           3.340
        26      2.944           2.945           4.024           3.409
        27      3.055           3.066           4.151           3.532
        28      3.025           3.034           4.069           3.476
        29      2.960           2.979           4.043           3.438
        30      3.069           3.075           4.142           3.535
        31      3.154           3.153           4.205           3.593
        32      3.167           3.179           4.188           3.601
        33      3.044           3.051           4.172           3.538
        34      3.239           3.242           4.295           3.687
        35      3.260           3.257           4.333           3.716
        36      3.111           3.114           4.192           3.575
        37      2.999           3.003           4.172           3.525
        38      2.989           2.996           4.124           3.485
        39      3.079           3.091           4.202           3.577
        40      2.979           2.985           4.138           3.482
        41      3.078           3.081           4.209           3.575
        42      3.074           3.086           4.209           3.573
        43      3.133           3.137           4.256           3.619
        44      3.207           3.210           4.332           3.694
        45      3.057           3.056           4.234           3.565
        46      3.263           3.262           4.419           3.759
        47      3.427           3.427           4.527           3.891
        48      3.337           3.331           4.528           3.845
        49      3.430           3.427           4.635           3.946
        50      3.510           3.502           4.641           4.000
        51      3.415           3.411           4.574           3.924
        52      3.406           3.410           4.576           3.917
        53      3.306           3.310           4.487           3.828
        54      3.262           3.270           4.474           3.806
        55      3.415           3.413           4.624           3.945
        56      3.461           3.466           4.598           3.968
        57      3.639           3.642           4.768           4.133
        58      3.560           3.559           4.735           4.085
        59      3.706           3.703           4.776           4.161
        60      3.622           3.620           4.712           4.084
        61      3.711           3.706           4.760           4.153
        62      3.735           3.741           4.781           4.187
        63      3.627           3.629           4.689           4.086
        64      3.743           3.743           4.820           4.212
        65      3.652           3.642           4.747           4.122
        66      3.503           3.493           4.655           4.007
        67      3.665           3.654           4.786           4.162
        68      3.653           3.648           4.816           4.174
        69      3.825           3.819           4.932           4.320
        70      3.767           3.762           4.878           4.265
        71      3.805           3.793           4.957           4.314
        72      3.866           3.852           5.006           4.360
        73      3.714           3.707           4.866           4.214
        74      3.734           3.732           4.862           4.238
        75      3.657           3.647           4.843           4.192
        76      3.643           3.633           4.751           4.138
        77      3.728           3.722           4.818           4.214
        78      3.844           3.840           4.953           4.335
        79      3.809           3.799           4.914           4.292
        80      3.567           3.554           4.738           4.087
