  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        5.205            7      609.069      552.062      587.687
        1        0.394        5.158            5      607.842      530.348      590.366
        2        0.596        5.232            4      615.447      551.227      592.434
        3        0.600        5.188            5      611.399      587.719      598.012
        4        0.676        5.210            3      601.032      570.960      575.086
        5        0.566        5.179            6      607.954      615.248      594.903
        6        0.979        5.175            5      609.611      620.750      581.635
        7        1.090        5.219            3      604.622      949.477      587.535
        8        1.052        5.133            6      599.934      602.465      583.485
        9        0.972        5.183            5      605.156      609.257      594.086
       10        0.805        5.142            5      605.347      595.002      592.900
       11        0.574        5.200            3      608.563      950.380      610.580
       12        0.578        5.101            6      589.990      930.465      591.446
       13        0.620        5.098            6      599.085      939.008      589.480
       14        0.481        5.137            6      611.214      630.268      602.814
       15        0.537        5.163            4      608.210      625.183      603.724
       16        0.653        5.113            4      594.899      938.419      591.586
       17        0.651        5.144            4      599.178      614.841      589.977
       18        0.795        5.205            4      609.051      635.399      595.008
       19        0.574        5.227            5      615.057      624.197      589.880
       20        0.677        5.178            4      602.701      607.199      576.154
       21        0.918        5.121            6      592.634      612.102      584.460
       22        0.655        5.100            7      588.851      608.288      585.556
       23        0.668        5.158            5      600.230      937.237      568.529
       24        0.586        5.215            4      609.504      615.138      603.635
       25        0.482        5.173            6      603.743      616.506      566.417
       26        0.513        5.172            6      599.219      619.604      573.677
       27        0.752        5.229            6      611.936      636.221      589.053
       28        0.741        5.252            6      618.970      631.593      607.651
       29        0.549        5.269            4      623.869      654.842      617.479
       30        0.559        5.260            6      620.172      614.510      619.082
       31        0.551        5.181            6      600.888      627.218      603.876
       32        0.611        5.197            5      610.825      669.084      599.144
       33        1.139        5.149            4      599.911      698.020      606.815
       34        1.154        5.199            3      607.334      702.677      602.400
       35        1.247        5.262            2      617.166      686.950      632.785
       36        1.321        5.214            4      602.812      942.301      606.419
       37        1.094        5.132            5      600.625      938.563      603.950
       38        1.182        5.164            3      602.659      646.142      595.932
       39        1.066        5.152            3      605.365      643.078      609.745
       40        1.149        5.238            4      606.003      943.585      603.415
       41        1.232        5.243            4      602.797      943.021      612.403
       42        1.153        5.274            3      615.864      958.935      634.775
       43        1.096        5.189            4      608.267      947.973      610.191
       44        1.163        5.256            1      609.662      946.183      615.422
       45        1.138        5.182            3      595.807      934.763      622.036
       46        1.111        5.159            4      599.766      937.379      605.997
       47        1.104        5.255            3      622.188      960.667      620.428
       48        1.019        5.169            4      602.945      936.968      598.272
       49        1.106        5.107            5      596.079      928.182      592.914
