  # frame#    Prot_CA   Prot_Backbone  Prot_Sidechain  Prot_All_Heavy
         0      0.000           0.000           0.000           0.000
         1      0.966           1.001           1.532           1.185
         2      1.202           1.238           1.788           1.428
         3      1.364           1.397           2.031           1.637
         4      1.448           1.472           2.185           1.770
         5      1.577           1.600           2.328           1.903
         6      1.659           1.676           2.340           1.945
         7      1.720           1.738           2.462           2.054
         8      1.778           1.796           2.524           2.105
         9      1.823           1.836           2.645           2.200
        10      1.859           1.887           2.670           2.217
        11      1.931           1.954           2.731           2.301
        12      1.863           1.877           2.683           2.244
        13      1.960           1.979           2.777           2.349
        14      2.035           2.051           2.865           2.415
        15      1.997           2.017           2.877           2.415
        16      2.043           2.066           2.924           2.464
        17      2.094           2.115           2.940           2.490
        18      2.100           2.118           2.995           2.521
        19      2.093           2.116           2.935           2.484
        20      2.163           2.185           3.031           2.565
        21      2.179           2.193           3.067           2.598
        22      2.130           2.149           3.026           2.554
        23      2.134           2.156           3.030           2.558
        24      2.143           2.170           3.034           2.564
        25      2.170           2.179           3.059           2.564
        26      2.110           2.123           3.017           2.519
        27      2.137           2.151           3.071           2.569
        28      2.042           2.060           3.027           2.510
        29      2.058           2.075           3.065           2.549
        30      2.128           2.138           3.104           2.596
        31      2.158           2.170           3.151           2.630
        32      2.192           2.188           3.164           2.652
        33      2.129           2.133           3.070           2.561
        34      2.197           2.198           3.126           2.606
        35      2.227           2.237           3.171           2.656
        36      2.256           2.273           3.164           2.664
        37      2.321           2.327           3.226           2.725
        38      2.326           2.334           3.260           2.748
        39      2.360           2.373           3.279           2.773
        40      2.317           2.331           3.245           2.731
        41      2.272           2.286           3.187           2.686
        42      2.307           2.318           3.217           2.711
        43      2.357           2.380           3.247           2.757
        44      2.274           2.296           3.213           2.706
        45      2.290           2.307           3.273           2.754
        46      2.408           2.423           3.346           2.837
        47      2.467           2.480           3.415           2.902
        48      2.412           2.419           3.368           2.855
        49      2.483           2.489           3.395           2.905
        50      2.416           2.425           3.361           2.860
        51      2.391           2.405           3.354           2.841
        52      2.419           2.428           3.380           2.867
        53      2.469           2.495           3.395           2.896
        54      2.383           2.404           3.319           2.820
        55      2.521           2.535           3.445           2.948
        56      2.463           2.484           3.388           2.888
        57      2.410           2.423           3.345           2.846
        58      2.447           2.467           3.396           2.890
        59      2.511           2.535           3.416           2.922
        60      2.415           2.445           3.350           2.842
        61      2.431           2.461           3.334           2.837
        62      2.444           2.464           3.405           2.879
        63      2.459           2.483           3.425           2.907
        64      2.357           2.384           3.341           2.812
        65      2.493           2.508           3.460           2.940
        66      2.423           2.448           3.381           2.872
        67      2.424           2.443           3.401           2.876
        68      2.416           2.440           3.347           2.844
        69      2.439           2.459           3.434           2.907
        70      2.463           2.480           3.424           2.901
        71      2.437           2.463           3.433           2.913
        72      2.400           2.418           3.380           2.856
        73      2.413           2.440           3.359           2.841
        74      2.398           2.418           3.364           2.836
        75      2.373           2.390           3.346           2.807
        76      2.449           2.461           3.394           2.874
        77      2.428           2.449           3.408           2.864
        78      2.486           2.503           3.445           2.926
        79      2.447           2.467           3.428           2.897
        80      2.482           2.503           3.511           2.960
        81      2.522           2.548           3.493           2.973
        82      2.525           2.542           3.510           2.967
        83      2.570           2.591           3.563           3.018
        84      2.491           2.516           3.479           2.927
        85      2.585           2.607           3.565           3.023
        86      2.573           2.587           3.502           2.984
        87      2.538           2.558           3.495           2.967
        88      2.491           2.514           3.451           2.920
        89      2.552           2.572           3.511           2.976
        90      2.491           2.508           3.430           2.903
        91      2.620           2.642           3.545           3.029
        92      2.577           2.596           3.502           2.992
        93      2.663           2.678           3.606           3.088
        94      2.579           2.599           3.547           3.033
        95      2.677           2.688           3.658           3.131
        96      2.756           2.762           3.716           3.201
